"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\1DV610\texttoolkit\src\TextDocument.js", "JavaScript", 137, 185, 45, 367
"e:\1DV610\texttoolkit\src\analyzers\TextAnalyzer.js", "JavaScript", 71, 62, 16, 149
"e:\1DV610\texttoolkit\src\formatters\TextFormatter.js", "JavaScript", 75, 76, 19, 170
"e:\1DV610\texttoolkit\src\index.js", "JavaScript", 14, 7, 4, 25
"e:\1DV610\texttoolkit\src\searchers\TextSearcher.js", "JavaScript", 102, 79, 29, 210
"e:\1DV610\texttoolkit\src\transformers\TextReverser.js", "JavaScript", 93, 79, 23, 195
"e:\1DV610\texttoolkit\src\transformers\TextTransformer.js", "JavaScript", 85, 62, 13, 160
"e:\1DV610\texttoolkit\src\utils\errors.js", "JavaScript", 42, 53, 3, 98
"e:\1DV610\texttoolkit\src\utils\inputValidation.js", "JavaScript", 34, 43, 8, 85
"Total", "-", 653, 646, 160, 1459
